ID_1|F|Nāga à sept têtes: Cosmologie visible|Rampe d'accès Ouest -> balustrades nāga à sept têtes [1]. Chiffre 7 associé aux sept races de Nagas ou symbolisme sacré. Réalité: pont entre monde humain et divin.|Balustrades latérales chaussée principale. Corps serpentin continu -> têtes évasées en éventail aux extrémités.|H
ID_2|F|Têtes de Nāga Arrachées|Majorité des têtes de nāga sur chaussée = décapitées ou absentes [2]. Pillage systématique marché antiquités 1960s-1990s (réseaux Douglas Latchford).|Moignons de cou visibles sur balustrades. Cassures nettes vs usure naturelle -> traces d'outil ou de levier.|H
ID_3|P|Devaraj: Dieu-Roi Gravé|Concept Devarāja -> roi khmer = incarnation divine (Vishnu/Shiva) [3]. Chaussée = axe reliant monde humain au dieu-roi. Statue Vishnu à 8 bras (Ta Reach) située dans la gopura Ouest.|Statue Vishnu à 8 bras, gopura Ouest. Inscription dédicatoire Suryavarman II sur piliers.|H
ID_4|F|Orientation Ouest: Temple Funéraire|Angkor Wat orienté Ouest -> contraire à la majorité des temples khmers (orientés Est) [4]. Hypothèse dominante (Coedès/Glaize): temple funéraire/mausolée. Ouest = domaine de Yama, dieu des morts.|Ombres matinales: soleil levant frappe dos du temple, pas façade. Chaussée principale = axe Ouest-Est.|H
ID_5|S|Ouvriers Khmers: Zéro Archive|Construction ~1113-1150 [5]. ~300,000 ouvriers estimés. Zéro registre nominatif de construction conservé (absence de stèle de fondation). Seules inscriptions = listes de personnel ou dignitaires.|Aucune stèle ouvrière sur site. Inscriptions existantes: sanskrit/vieux khmer -> listes de donations aristocratiques ou personnel temple.|M
ID_6|F|Chaussée Surélevée: Pont entre Mondes|Chaussée ~350m de long, surélevée au-dessus douves [6]. Structure = franchissement symbolique entre monde profane et monde sacré (mont Meru). Douves larges ~200m.|Chaussée en grès. Douves larges ~200m de chaque côté. Gopura Ouest (tour-portail) marque le seuil.|H
ID_7|C|Selfie-Point Instagrammé|Bassins de réflexion chaussée -> spot photo majeur [7]. Foule 500-4000 touristes/jour dès l'aube. "Instagramization" du site transformant le lieu de méditation en scène de shooting commercial.|Deux bassins flanquant la chaussée. Concentration extrême de visiteurs à l'aube devant le bassin Nord.|M
ID_8|P|Protectorat Français: Main Basse Savante|EFEO contrôle Angkor 1907-1953 [8]. Exportation de moulages et archives vers Paris. Plans architecturaux complets et 1400+ illustrations conservés à l'EFEO Paris.|Panneaux EFEO visibles sur site. Numérotation française sur blocs de grès lors anastylose.|H
ID_9|F|Anastylose: Puzzle Truqué|Méthode anastylose (démontage et réassemblage) appliquée par l'EFEO [9]. Manque de pierres d'origine -> intégration de nouveaux blocs ou approximations. 300,000 blocs manipulés comme un puzzle 3D.|Joints de grès irréguliers. Sections de bas-reliefs avec cassures. Blocs neufs intercalés entre blocs anciens.|M
ID_10|P|Khmer Rouge: Angkor Récupéré|Khmer Rouge 1975-1979 -> silhouette d'Angkor Wat sur drapeau national [10]. Symbole de nationalisme glorifiant le passé khmer. Paradoxe: régime anti-intellectuel célébrant un monument royal.|Drapeau Kampuchéa Démocratique 1975-1979 = silhouette Angkor Wat jaune sur rouge.|H
